"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@BintWater
-
!KILL #ISIS! @ibn_shaam @ibn0mar
#Kobani
#ISIL #KillIS #KillIslamicState
#IslamicState
-
http://t.co/l4WPAR4meT",FALSE,0,"BintWater",2014-10-11 16:12:52,FALSE,NA,"520970294735810561","2801362930","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","stefitapizarova",0,FALSE,FALSE,NA,NA
"RT @michaeldickson: Watch: #ISIS and #Hamas: two groups with the same goal https://t.co/49NPnUdilc",FALSE,0,NA,2014-10-11 16:12:52,FALSE,NA,"520970294266429440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shearere13",57,TRUE,FALSE,NA,NA
"RT @JeffreyGuterman: Pregnant Austrian teens in #ISIS now say they want to return home http://t.co/zCxpmblaKN Photos: Europics http://t.co/…",FALSE,0,NA,2014-10-11 16:12:51,FALSE,NA,"520970293494689793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drmsharif14",23,TRUE,FALSE,NA,NA
"RT @WilliamsJon: Most of Euphrates valley is now within #ISIS control. If Ramadi falls, will run from Qaim to Abu Ghraib. #Iraq #Syria http…",FALSE,0,NA,2014-10-11 16:12:50,FALSE,NA,"520970289312960512",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","99vance",33,TRUE,FALSE,NA,NA
"RT @luigidegennar: Istanbul a fianco di #Kobane (sperando che polizia e militari non...)

@OccupyRMN Anti-#ISIS rally Taksim @RoniVicdan ht…",FALSE,0,NA,2014-10-11 16:12:50,FALSE,NA,"520970288184709120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madero034",3,TRUE,FALSE,NA,NA
"RT @WNEW: Twitter CEO: #ISIS militants have threatened him, employees in response to shutting down group’s accounts. http://t.co/HOQvCFBbCd",FALSE,0,NA,2014-10-11 16:12:49,FALSE,NA,"520970284984045568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maine_Char",2,TRUE,FALSE,NA,NA
"RT @reband_kurd: ""Today was the strongest, hardest offensive by #ISIS. They shelled the city heavily. #YPG/J resisted bravely."" Blese Omer …",FALSE,0,NA,2014-10-11 16:12:49,FALSE,NA,"520970281943592960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RushetteNY",26,TRUE,FALSE,NA,NA
"المكتب الإعلامي لـ #ولاية_نينوى يقدم

#دماء_الجهاد

#الدولة_الإسلامية #نفير_أحلام_النصر 
#داعش #ISIS""
https://t.co/yiwIuCoiVu",FALSE,0,NA,2014-10-11 16:12:48,FALSE,NA,"520970281720901632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cklklgdf44",0,FALSE,FALSE,NA,NA
"RT @grammy620: Stop the #WaronCoal! Stop the healthcare cancellations. Secure our Borders and keep us safe! #Ebola #ISIS #KYsen  #AZ02 #LAs…",FALSE,0,NA,2014-10-11 16:12:48,FALSE,NA,"520970280198733826",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dlb5503",1,TRUE,FALSE,NA,NA
"RT @orione20: @olivati @luigidegennar anche mille!. Combattenti #YPG #curdi resistono . Non fare gioco #Isis che vuole da giorni notizia ca…",FALSE,0,NA,2014-10-11 16:12:48,FALSE,NA,"520970278764285953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarloMarulli",2,TRUE,FALSE,NA,NA
"Watching CNN on #Anbar and #ISIS. Why do I keep hearing 'You broke it, you bought it' in my head? #Pottery Barn Rule #Iraq #FUBAR",FALSE,0,NA,2014-10-11 16:12:47,FALSE,NA,"520970274716790785",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","richleiby",0,FALSE,FALSE,NA,NA
"The pride of #Turkey after massacre of Kobane: being a neighbour of #ISIS #ISIL
#UN #HR #Syria #Iran",FALSE,1,NA,2014-10-11 16:12:47,FALSE,NA,"520970274305736706",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sedaye1357",0,FALSE,FALSE,NA,NA
"RT @gailtalk: Did I hear @TheJuanWilliams defend Harvard students who said America worse than #ISIS, cuz Harvard students are critical thin…",FALSE,0,NA,2014-10-11 16:12:44,FALSE,NA,"520970263459299328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","efilnikcufecin7",5,TRUE,FALSE,NA,NA
"RT @EuIraq: Anti-#ISIS militias out of government control in #Baghdad: experts #Iraq #Iran http://t.co/RD7Tb3xLX7",FALSE,0,NA,2014-10-11 16:12:44,FALSE,NA,"520970261341163521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","IAC_CT",35,TRUE,FALSE,NA,NA
"RT @curdistani: Tens of thousands of Kurds protesting #ISIS &amp; #Turkey in Germany http://t.co/iw6SC0ZCIW #Twitterkurds #Rojava #kobane #koba…",FALSE,0,NA,2014-10-11 16:12:43,FALSE,NA,"520970258992345088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeannesmith1",34,TRUE,FALSE,NA,NA
"RT @grammy620: We worry about #Ebola, #Enterovirus, #ISIS Obama fundraises. Vote out the Obama clones! #LAsen #KYen #IAsen #COsen #Denver #…",FALSE,0,NA,2014-10-11 16:12:42,FALSE,NA,"520970254835785728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dlb5503",2,TRUE,FALSE,NA,NA
"RT @NCBlondes: Call #ThomTillis Does he have anything intelligent to say about #ISIS yet?  #NCSen  #ncpol http://t.co/weQ3ssUbWB",FALSE,0,NA,2014-10-11 16:12:39,FALSE,NA,"520970241837654016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kturner07",4,TRUE,FALSE,NA,NA
"""@BMOC98: #Obama #isis #isil http://t.co/FTA5dynZH3""",FALSE,0,NA,2014-10-11 16:12:38,FALSE,NA,"520970237303214080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","chris63414391",0,FALSE,FALSE,NA,NA
